"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"2418","3 Series",2019,27850,"Automatic",2965,"Diesel",145,52.3,2
"2419","3 Series",2018,22900,"Semi-Auto",27800,"Petrol",145,48.7,2
"2420","4 Series",2019,25900,"Semi-Auto",12202,"Petrol",145,48.7,2
"2421","5 Series",2019,42650,"Semi-Auto",101,"Petrol",145,50.4,2
"2422","5 Series",2019,42400,"Semi-Auto",101,"Petrol",145,50.4,2
"2423","7 Series",2019,50390,"Semi-Auto",2218,"Petrol",145,33.6,3
"2424","7 Series",2019,46500,"Semi-Auto",6249,"Diesel",145,42.2,3
"2425","3 Series",2019,23298,"Semi-Auto",15221,"Diesel",145,62.8,2
"2426","X1",2016,14998,"Manual",52422,"Diesel",125,58.9,2
"2427","X1",2017,21350,"Automatic",17877,"Diesel",145,60.1,2
"2428","2 Series",2019,21500,"Manual",6649,"Petrol",145,42.2,1.5
"2429","7 Series",2019,52900,"Semi-Auto",2919,"Diesel",145,41.5,3
"2430","3 Series",2018,21397,"Semi-Auto",5034,"Diesel",145,62.8,2
"2431","2 Series",2019,26991,"Manual",103,"Diesel",145,51.4,2
"2432","2 Series",2019,27990,"Semi-Auto",1614,"Diesel",145,49.6,2
"2433","2 Series",2019,28361,"Semi-Auto",101,"Petrol",145,50.4,2
"2434","3 Series",2016,13298,"Semi-Auto",62655,"Diesel",30,64.2,2
"2435","4 Series",2016,19444,"Semi-Auto",55297,"Diesel",160,50.4,3
"2436","X1",2017,21250,"Semi-Auto",17962,"Petrol",165,44.8,2
"2437","5 Series",2017,26500,"Automatic",17766,"Diesel",145,60.1,3
"2438","2 Series",2018,19000,"Semi-Auto",9641,"Petrol",145,38.2,2
"2439","3 Series",2019,26750,"Semi-Auto",4327,"Diesel",145,53.3,3
"2440","3 Series",2018,19900,"Semi-Auto",12030,"Diesel",145,64.2,2
"2441","3 Series",2017,14558,"Semi-Auto",28487,"Petrol",125,54.3,1.5
"2442","X1",2016,16650,"Semi-Auto",27843,"Diesel",30,65.7,2
"2443","3 Series",2019,37991,"Semi-Auto",7447,"Petrol",150,34.9,3
"2444","X5",2017,33991,"Automatic",32771,"Diesel",145,47.1,3
"2445","X4",2019,38500,"Semi-Auto",12733,"Diesel",150,37.2,3
"2446","2 Series",2017,16991,"Manual",20626,"Diesel",30,62.8,2
"2447","M3",2017,37591,"Semi-Auto",15770,"Petrol",305,34,3
"2448","X7",2019,65050,"Semi-Auto",3192,"Diesel",145,33.6,3
"2449","5 Series",2019,28800,"Semi-Auto",5360,"Diesel",145,65.7,2
"2450","3 Series",2019,29480,"Semi-Auto",2228,"Diesel",145,52.3,2
"2451","1 Series",2019,16980,"Manual",12,"Diesel",145,68.9,2
"2452","4 Series",2019,24785,"Semi-Auto",2924,"Petrol",145,48.7,2
"2453","4 Series",2016,18490,"Semi-Auto",38692,"Diesel",30,65.7,2
"2454","3 Series",2018,19490,"Semi-Auto",28816,"Petrol",150,48.7,2
"2455","3 Series",2019,26260,"Semi-Auto",14612,"Petrol",145,41.5,3
"2456","X5",2016,30991,"Automatic",14286,"Diesel",200,47.1,3
"2457","3 Series",2015,14531,"Semi-Auto",41330,"Diesel",125,61.4,2
"2458","X5",2017,37500,"Automatic",11261,"Diesel",145,42.8,3
"2459","2 Series",2017,17858,"Automatic",28561,"Hybrid",0,135.5,1.5
"2460","7 Series",2016,29240,"Semi-Auto",20619,"Diesel",145,54.3,3
"2461","1 Series",2017,19991,"Manual",20302,"Petrol",145,36.2,3
"2462","3 Series",2019,27480,"Manual",18,"Diesel",145,54.3,2
"2463","4 Series",2019,29840,"Semi-Auto",6011,"Diesel",145,60.1,2
"2464","2 Series",2019,21480,"Manual",3347,"Diesel",145,61.4,2
"2465","2 Series",2019,19980,"Manual",1900,"Petrol",145,42.8,1.5
"2466","2 Series",2019,19980,"Manual",10,"Petrol",145,42.8,1.5
